ID,FullName,CityName,OblName,Center,NalSumLimit,EngName,PostCodeList
15,"Армения, Армения",Армения,null,,0.00,"Armeniya, Armeniya",
7114,Ереван,Ереван,null,,0.00,"Erevan, Armeniya","0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0090,0091,0092,0093,0094,0095,0096,0097,0098,0099"
31140,"Абовян, Армения",Абовян,Армения,,0.00,,000001
4877,"Апаран, Армения, Армения","Апаран, Армения",Армения,,0.00,"Aparan, Armeniya, Armeniya",0301
31223,"Армавир, Армения",Армавир,Армения,,0.00,,000001
31139,"Аштарак, Армения",Аштарак,Армения,,0.00,,000001
5839,"Ванадзор, Армения, Армения","Ванадзор, Армения",Армения,,0.00,"Vanadzor, Armeniya, Armeniya","2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024"
31385,"Горис, Армения",Горис,Армения,,0.00,,000001
6730,"Гюмри, Армения, Армения","Гюмри, Армения",Армения,,0.00,"Gyumri, Armeniya, Armeniya","3101,3102,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117,3118,3119,3120,3121,3122,3123,3124,3125,3126"
31224,"Егвард, Армения",Егвард,Армения,,0.00,,000001
31381,"Ехегнадзор, Армения",Ехегнадзор,Армения,,0.00,,000001
31384,"Капан, Армения",Капан,Армения,,0.00,,000001
31225,"Масис, Армения",Масис,Армения,,0.00,,000001
10466,"Раздан, Армения, Армения","Раздан, Армения",Армения,,0.00,"Razdan, Armeniya, Armeniya","2301,2302,2303,2304,2305,2306,2307,2308,2309"
11080,"Севан, Армения, Армения","Севан, Армения",Армения,,0.00,"Sevan, Armeniya, Armeniya","1501,1502,1503,1504,1505"
31383,"Спитак, Армения",Спитак,Армения,,0.00,,000001
31382,"Цахкадзор, Армения",Цахкадзор,Армения,,0.00,,000001
31141,"Эчмиадзин, Армения",Эчмиадзин,Армения,,0.00,,000001